Country,Region,Subregion,Rate,Count,year
Afghanistan,Asia,Southern Asia,6.66,2474,2018
Albania,Europe,Southern Europe,2.29,66,2018
Algeria,Africa,Northern Africa,1.36,542,2015
American Samoa,Oceania,Polynesia,5.4,3,2016
Andorra,Europe,Southern Europe,0.0,0,2015
Angola,Africa,Middle Africa,4.85,1217,2012
Anguilla,Americas,Caribbean,27.66,4,2014
Antigua and Barbuda,Americas,Caribbean,10.33,10,2012
Argentina,Americas,South America,5.32,2362,2018
Armenia,Asia,Western Asia,1.69,50,2018
Aruba,Americas,Caribbean,1.93,2,2014
Australia,Oceania,Australia and N.Z.,0.89,222,2018
Austria,Europe,Western Europe,0.97,86,2018
Azerbaijan,Asia,Western Asia,2.2,219,2018
Bahamas,Americas,Caribbean,30.9,122,2017
Bahrain,Asia,Western Asia,0.52,7,2014
Bangladesh,Asia,Southern Asia,2.37,3830,2018
Barbados,Americas,Caribbean,9.7,28,2018
Belarus,Europe,Eastern Europe,2.39,226,2018
Belgium,Europe,Western Europe,1.7,193,2017
Belize,Americas,Central America,37.9,142,2017
Benin,Africa,Western Africa,1.1,126,2017
Bermuda,Americas,Northern America,8.2,5,2017
Bhutan,Asia,Southern Asia,1.19,9,2018
Bolivia,Americas,South America,6.3,686,2016
Bosnia and Herzegovina,Europe,Southern Europe,1.17,39,2018
Botswana,Africa,Southern Africa,15.04,303,2010
Brazil,Americas,South America,27.38,57358,2018
British Virgin Islands,Americas,Caribbean,8.37,2,2006
Brunei,Asia,South-Eastern Asia,0.49,2,2013
Bulgaria,Europe,Eastern Europe,1.3,92,2018
Burkina Faso,Africa,Western Africa,1.3,240,2017
Burundi,Africa,Eastern Africa,6.02,635,2016
Cambodia,Asia,South-Eastern Asia,1.84,268,2011
Cameroon,Africa,Middle Africa,1.4,341,2017
Canada,Americas,Northern America,1.76,651,2018
Cape Verde,Africa,Western Africa,6.8,37,2018
Cayman Islands,Americas,Caribbean,8.45,5,2014
